date,reviewerID,hotelID,rating,flagged
1/16/2011,HvXwMDPz4AqQprDHhWTOUA,iIrBXLRm4Ga1AjvthhrLOw,5,Y
12/27/2011,LcVX5dauEj520I56PfpPvQ,fH7EwQ9j_Ab1NJNYMoHA3w,5,Y
4/13/2012,WGY7yx1RuNc0IHCcosYjZg,HTBxJPblBauNNCm_qSQjSQ,5,Y
7/24/2010,orKgNa2TI4w7F2uNwsacSQ,iIrBXLRm4Ga1AjvthhrLOw,5,Y
7/30/2010,95mkJv2cgRbtCr6yp3Zp5g,iIrBXLRm4Ga1AjvthhrLOw,5,Y
8/28/2012,aPZqQeFT7YqW3UO3iyGuFA,p9aMkgTdOKhsjkkv4G0QBw,2,Y
9/15/2012,r6krSg8pFAKHIWgGluk-AA,PRQGk-UbR7FkUFYvSOiHmA,3,Y
1/1/2006,4xTL7DOe8R4RmPQq3DhxEA,2m_KBLL9Bk_dwZ5n5b11nw,3,N
1/1/2007,nHnNraNUct25HJJTRAGYkA,DxfjGOEtFJQoq6m8WjYl4Q,4,N
1/1/2008,Oj0T5fc81bbfKzZ94PYIgg,JF1adUKdsNebw6-8MABATg,3,N
1/1/2008,fSZcjSolZKfNEJ8FersL7Q,mgvWzZBNNHtVP5Xd5Mz39A,3,N
1/1/2009,nBRmc-clwEccUbDaoqUvug,P0d8m5E67oBc0BpVUh4nKQ,5,N
1/1/2009,dzTUOfXz8OtP9gpSnyoQSg,P0d8m5E67oBc0BpVUh4nKQ,5,Y
1/1/2010,1pGDaC85KMUvEKxcaBR0tg,HwJkHmF__Y2VApOA31GqQw,4,N
1/1/2010,eMy5XZj6pgqhOxHDYDZ3jg,DC1sD5TsqljP_BIAV6S-pw,5,N
1/1/2010,pSU6_HEPTlOqZOrENQpErg,2m_KBLL9Bk_dwZ5n5b11nw,4,N
1/1/2011,0NdLHoNk6r5i7qQ89E0-lQ,mgvWzZBNNHtVP5Xd5Mz39A,5,N
1/1/2011,MRQL87mqMrLgLBNYE97ahg,YIfXuMhZgZf3xNnRWjyDYA,4,N
1/1/2012,K2hfyMtZeLjMDCDOvBzjMQ,FfG-PPZCz1sB4SKZoqsZkQ,4,N
1/1/2012,Xd47kawRddyUiWxlEFLHWw,S_wqr0_GkrNOvgVVgp7__w,5,N
1/1/2012,PCISmI0atmUGCauThxGkPA,ia27sl8koyz1K3sX8kT5ig,3,N
1/1/2012,i9GVJQpsbnfBw0POHR688g,HTBxJPblBauNNCm_qSQjSQ,5,N
1/1/2012,ifZJeZuTTj4dfEoR29I6bA,DxfjGOEtFJQoq6m8WjYl4Q,4,N
1/1/2012,EV8rlHrYs_rHB2jfFfyD9g,2m_KBLL9Bk_dwZ5n5b11nw,2,N
1/1/2012,LkTMDcMVbJasuxKIzSjgGQ,fH7EwQ9j_Ab1NJNYMoHA3w,5,Y
1/10/2007,vIHCUJSkc-tccj6wHFPxwg,NkOir65b_YAAQVlJR_zmJA,4,N
1/10/2008,vF_63_AW2iAleOeVkGjjwQ,mLdvQGAFadIJkOlEoHsI7w,4,N
1/10/2008,vF_63_AW2iAleOeVkGjjwQ,NkOir65b_YAAQVlJR_zmJA,3,N
1/10/2009,n4xkU8waKuPNA4K2bA2p6g,lDVAVEPaVSqHzJ2a43_IMA,4,Y
